JobID|JobName|Partition|AllocCPUS|AllocNodes|NCPUS|NNodes|MaxRSS|State|Elapsed
12098571_72.batch|batch||4|1|4|1|326496K|COMPLETED|00:14:03
12098571_73|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:51
12098571_73.batch|batch||4|1|4|1|239020K|COMPLETED|00:13:51
12098571_74|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:08
12098571_74.batch|batch||4|1|4|1|224.50M|COMPLETED|00:13:08
12098571_75|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:06
12098571_75.batch|batch||4|1|4|1|233012K|COMPLETED|00:13:06
12098571_76|render_blender|plgrid|4|1|4|1||COMPLETED|00:15:14
12098571_76.batch|batch||4|1|4|1|230496K|COMPLETED|00:15:14
12098571_77|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:31
12098571_77.batch|batch||4|1|4|1|235192K|COMPLETED|00:14:31
12098571_78|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:54
12098571_78.batch|batch||4|1|4|1|233604K|COMPLETED|00:12:54
12098571_79|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:51
12098571_79.batch|batch||4|1|4|1|232288K|COMPLETED|00:12:51
12098571_80|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:53
12098571_80.batch|batch||4|1|4|1|237000K|COMPLETED|00:12:53
12098571_81|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:52
12098571_81.batch|batch||4|1|4|1|232840K|COMPLETED|00:12:52
12098571_82|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:54
12098571_82.batch|batch||4|1|4|1|233236K|COMPLETED|00:12:54
12098571_83|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:53
12098571_83.batch|batch||4|1|4|1|233952K|COMPLETED|00:12:53
12098571_84|render_blender|plgrid|4|1|4|1||COMPLETED|00:15:18
12098571_84.batch|batch||4|1|4|1|234772K|COMPLETED|00:15:18
12098571_85|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:19
12098571_85.batch|batch||4|1|4|1|234140K|COMPLETED|00:13:19
12098571_86|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:17
12098571_86.batch|batch||4|1|4|1|234444K|COMPLETED|00:13:17
12098571_87|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:58
12098571_87.batch|batch||4|1|4|1|228304K|COMPLETED|00:12:58
12098571_88|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:57
12098571_88.batch|batch||4|1|4|1|232248K|COMPLETED|00:12:57
12098571_89|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:59
12098571_89.batch|batch||4|1|4|1|227360K|COMPLETED|00:12:59
12098571_90|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:17
12098571_90.batch|batch||4|1|4|1|216376K|COMPLETED|00:13:17
12098571_91|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:20
12098571_91.batch|batch||4|1|4|1|182936K|COMPLETED|00:14:20
12098571_92|render_blender|plgrid|4|1|4|1||COMPLETED|00:16:08
12098571_92.batch|batch||4|1|4|1|235200K|COMPLETED|00:16:08
12098571_93|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:50
12098571_93.batch|batch||4|1|4|1|236392K|COMPLETED|00:13:50
12098571_94|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:50
12098571_94.batch|batch||4|1|4|1|234716K|COMPLETED|00:13:50
12098571_95|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:50
12098571_95.batch|batch||4|1|4|1|233828K|COMPLETED|00:13:50
12098571_96|render_blender|plgrid|4|1|4|1||COMPLETED|00:14:24
12098571_96.batch|batch||4|1|4|1|225420K|COMPLETED|00:14:24
12098571_97|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:06
12098571_97.batch|batch||4|1|4|1|232488K|COMPLETED|00:13:06
12098571_98|render_blender|plgrid|4|1|4|1||COMPLETED|00:13:13
12098571_98.batch|batch||4|1|4|1|232780K|COMPLETED|00:13:13
12098571_99|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:55
12098571_99.batch|batch||4|1|4|1|261132K|COMPLETED|00:12:55
12098571_100|render_blender|plgrid|4|1|4|1||COMPLETED|00:12:49
12098571_100.batch|batch||4|1|4|1|259736K|COMPLETED|00:12:49
